Bat2;8.3900003433228;1618073691.3700032
Alt;4.0;1618073691.3700032
GAlt;220.10000610352;1618073691.371997
GSpd;0.0;1618073691.375986
Hdg;220.17001342773;1618073691.3769813
ch1;-1024.0;1618073691.3779783
ch2;-1024.0;1618073691.379973
ch3;-1024.0;1618073691.3809705
ch4;-1024.0;1618073691.3829653
RSSI;73.0;1618073691.3839633
Roll;4.0;1618073691.3859577
Ptch;0.0;1618073691.39593
GPS;[0.91331745, 0.4391192333333334];1618073691.3969386
Curr;0.0;1618073691.397925
AccX;0.010000000707805;1618073691.4148805
AccY;0.080000005662441;1618073691.4208677
AccZ;1.0;1618073691.4218957
dPrs;-15.0;1618073691.4228578
Bat1;25.200000762939;1618073691.427878
Bat2;8.3900003433228;1618073691.4288437
Alt;4.8000001907349;1618073691.4298422
GAlt;220.10000610352;1618073691.4328635
GSpd;0.0;1618073691.4328635
Hdg;220.17001342773;1618073691.4338632
ch1;-1024.0;1618073691.4348278
ch2;-1024.0;1618073691.435856
ch3;-1024.0;1618073691.436855
ch4;-1024.0;1618073691.4378514
RSSI;73.0;1618073691.4378514
Roll;4.0;1618073691.4388485
Ptch;0.0;1618073691.4478238
GPS;[0.91331745, 0.4391192333333334];1618073691.4567726
Curr;0.0;1618073691.457768
AccX;0.010000000707805;1618073691.4587643
AccY;0.080000005662441;1618073691.4677398
AccZ;1.0;1618073691.46877
dPrs;-15.0;1618073691.4737227
Bat1;25.200000762939;1618073691.4747212
Bat2;8.3900003433228;1618073691.475749
Alt;4.8000001907349;1618073691.4767509
GAlt;220.10000610352;1618073691.4797385
GSpd;0.0;1618073691.4797385
Hdg;220.17001342773;1618073691.4807355
ch1;-1024.0;1618073691.4817355
ch2;-1024.0;1618073691.482734
ch3;-1024.0;1618073691.4836972
ch4;-1024.0;1618073691.4847271
Roll;4.0;1618073691.9875748
Ptch;0.0;1618073691.9975805
GPS;[0.91331745, 0.4391192333333334];1618073691.9985445
Curr;0.0;1618073691.9995437
AccX;0.010000000707805;1618073692.0105128
AccY;0.080000005662441;1618073692.0254717
AccZ;1.0;1618073692.0254717
dPrs;-15.0;1618073692.0264723
Bat1;25.200000762939;1618073692.02747
Bat2;8.3900003433228;1618073692.0294628
Alt;4.8000001907349;1618073692.031457
GAlt;220.10000610352;1618073692.0374439
GSpd;0.0;1618073692.0384412
Hdg;220.17001342773;1618073692.0434246
ch1;-1024.0;1618073692.0444272
ch2;-1024.0;1618073692.0454552
ch3;-1024.0;1618073692.0454552
ch4;-1024.0;1618073692.046419
RSSI;71.0;1618073692.0474136
Roll;4.0;1618073692.0484147
Ptch;0.0;1618073692.0484147
GPS;[0.91331745, 0.4391192333333334];1618073692.0494401
Curr;0.0;1618073692.050409
AccX;0.010000000707805;1618073692.051406
AccY;0.080000005662441;1618073692.052402
AccZ;1.0;1618073692.0533981
dPrs;-15.0;1618073692.0533981
Bat1;25.200000762939;1618073692.0713496
Bat2;8.3900003433228;1618073692.0723488
Alt;4.8000001907349;1618073692.073347
GAlt;220.10000610352;1618073692.0873075
GSpd;0.0;1618073692.0873075
Hdg;220.17001342773;1618073692.0883038
ch1;-1024.0;1618073692.0893018
ch2;-1024.0;1618073692.094292
ch3;-1024.0;1618073692.0962837
ch4;-1024.0;1618073692.0972834
RSSI;71.0;1618073692.0982783
Roll;4.0;1618073692.0992777
Ptch;0.0;1618073692.0992777
GPS;[0.91331745, 0.4391192333333334];1618073692.101275
Curr;0.0;1618073692.1192238
AccX;0.010000000707805;1618073692.1252077
AccY;0.080000005662441;1618073692.130193
